,Centrality
23,0.8387096774193548
29,0.7419354838709677
6,0.7419354838709677
18,0.8709677419354839
19,0.8387096774193548
20,0.8387096774193548
21,0.8064516129032258
22,0.8387096774193548
24,0.6774193548387096
30,0.7419354838709677
31,0.7419354838709677
32,0.7741935483870968
26,0.6774193548387096
27,0.6774193548387096
28,0.7096774193548387
10,0.5483870967741935
25,0.7419354838709677
3,0.967741935483871
4,0.12903225806451613
5,0.7741935483870968
7,0.8387096774193548
9,0.6129032258064516
12,0.7096774193548387
14,0.3548387096774194
16,0.7096774193548387
1,0.7419354838709677
8,0.4838709677419355
17,0.3548387096774194
2,0.22580645161290322
11,0.25806451612903225
13,0.25806451612903225
15,0.16129032258064516
