,Centrality
18,0.9354838709677419
20,0.967741935483871
31,0.9354838709677419
19,0.9354838709677419
21,0.967741935483871
22,0.967741935483871
24,1.0
23,0.967741935483871
29,0.9354838709677419
30,0.967741935483871
28,0.9354838709677419
25,0.967741935483871
26,0.967741935483871
32,0.967741935483871
27,0.967741935483871
5,1.0
16,0.967741935483871
10,0.967741935483871
9,0.967741935483871
11,0.967741935483871
7,1.0
6,1.0
14,0.967741935483871
15,0.6129032258064516
12,0.967741935483871
13,0.967741935483871
17,0.9354838709677419
8,0.4193548387096774
1,1.0
4,1.0
2,1.0
3,1.0
